timestamp,Stempel_innen_mitte,Stempel_aussen,Matrize_oben_zarge,Matrize_mitte_zarge,Matrize_unten_zarge,Werkstueck_boden,Werkstueck_flansch,Werkstueck_zarge_mitte,Werkstück_zarge_unten,Werkstueck_zarge_oben
367.45,91.9839,90.0464,90.569,90.1911,90.0,783.423,779.372,777.194,775.241,783.435
367.46,91.9866,90.0847,90.6107,90.2642,90.0,783.264,778.656,776.639,774.853,782.712
367.47,91.9886,90.1357,90.6546,90.3537,90.0,783.09,777.982,776.06,774.466,781.838
367.48,91.9899,90.1973,90.7012,90.4588,90.0,782.851,777.381,775.434,774.076,780.986
367.49,91.9906,90.2646,90.7567,90.5694,90.0006,782.429,776.876,774.735,773.744,780.127
367.5,91.9917,90.3346,90.8237,90.6809,90.0031,781.72,776.396,773.961,773.579,779.167
367.51,91.9975,90.4101,90.9011,90.7969,90.0094,780.961,775.893,773.108,774.385,778.136
367.52,92.0168,90.5004,90.9942,90.9246,90.0273,779.918,775.206,772.047,773.803,776.918
367.53,92.0572,90.6214,91.1021,91.0676,90.0685,778.26,773.921,770.88,773.025,775.556
367.54,92.1235,90.7858,91.2235,91.2251,90.1333,776.266,771.873,769.636,772.096,774.118
367.55,92.2115,90.9916,91.3571,91.3965,90.2186,774.079,769.207,768.332,771.065,772.639
367.56,92.3259,91.2369,91.5018,91.5807,90.3216,771.776,766.054,766.984,769.963,771.141
367.57,92.4691,91.5264,91.6576,91.7739,90.4358,769.543,762.239,765.606,768.855,769.694
367.66,94.6847,95.4105,93.3469,93.7346,91.4687,751.162,723.191,753.013,759.24,758.102
367.76,98.0837,100.847,95.4905,96.1689,92.7297,729.237,685.945,739.399,748.626,745.659
367.860899,101.835,106.639,97.7048,98.6727,94.1286,707.002,653.809,726.07,737.746,733.378
367.96,105.5,112.128,99.8192,101.064,95.5304,685.521,625.548,713.344,726.957,721.629
368.06,109.022,117.248,101.86,103.355,96.9568,664.404,599.156,700.885,716.045,710.084
368.16,112.285,121.825,103.787,105.46,98.3933,644.185,574.657,689.131,705.104,698.838
368.26,115.289,125.882,105.605,107.354,99.8531,625.021,551.692,677.976,694.086,687.844
368.36,118.019,129.424,107.309,109.068,101.288,607.053,530.186,667.122,682.957,677.105
368.46,120.504,132.53,108.909,110.649,102.666,590.062,510.027,656.461,671.769,666.598
368.56,122.759,135.233,110.41,112.115,103.969,573.928,491.161,645.997,660.588,656.313
368.66,124.8,137.558,111.819,113.479,105.186,558.653,473.518,635.741,649.48,646.247
368.76,126.648,139.544,113.141,114.751,106.295,544.721,457.042,625.712,638.512,636.394
368.86,128.324,141.234,114.383,115.941,107.283,531.792,441.686,615.929,627.813,626.747
368.96,129.851,142.665,115.554,117.061,108.178,519.576,427.367,606.379,616.637,617.293
369.06,131.235,143.865,116.658,118.114,108.999,508.729,414.038,597.057,605.093,608.033
369.16,132.481,144.849,117.694,119.101,109.752,498.89,401.73,587.964,594.061,598.976
369.26,133.612,145.667,118.673,120.032,110.452,489.197,390.196,579.069,583.463,590.098
369.36,134.633,146.353,119.598,120.91,111.107,479.631,380.522,570.361,573.228,581.396
369.46,135.517,146.947,120.475,121.74,111.722,470.36,374.821,561.832,563.302,572.866
369.56,136.235,147.496,121.305,122.522,112.301,461.515,373.207,553.482,553.659,564.508
369.66,136.831,148.016,122.093,123.261,112.842,453.035,371.321,545.299,544.27,556.313
369.76,137.339,148.509,122.844,123.961,113.331,444.848,369.303,537.274,535.115,548.275
369.86,137.758,148.979,123.558,124.622,113.756,436.933,367.222,529.409,526.205,540.394
369.96,138.062,149.427,124.237,125.246,114.116,429.319,365.12,521.711,517.591,532.677
370.06,138.256,149.853,124.885,125.835,114.432,422.047,363.022,514.165,509.232,525.11
370.16,138.348,150.259,125.5,126.388,114.713,415.248,360.946,506.794,501.149,517.717
370.26,138.349,150.648,126.088,126.911,114.97,409.036,358.755,499.568,493.287,510.466
370.36,138.301,151.019,126.656,127.412,115.21,403.039,356.454,492.448,484.997,503.323
370.46,138.223,151.36,127.201,127.886,115.43,397.638,354.09,485.465,476.708,496.317
370.56,138.142,151.663,127.723,128.335,115.633,392.716,351.606,478.618,468.685,489.444
370.66,138.074,151.916,128.219,128.753,115.815,388.027,346.716,471.935,461.037,482.731
370.76,138.021,152.115,128.695,129.149,115.982,383.364,340.531,465.38,453.666,476.145
370.86,137.981,152.266,129.155,129.527,116.136,378.694,334.322,458.936,446.517,469.667
370.96,137.962,152.369,129.599,129.883,116.277,375.533,327.82,452.615,439.601,463.311
371.06,137.969,152.426,130.025,130.218,116.405,374.524,321.47,446.436,432.937,457.093
371.16,137.997,152.452,130.439,130.537,116.526,373.835,315.476,440.356,426.438,450.972
371.26,138.049,152.436,130.843,130.837,116.638,373.064,309.98,434.395,420.123,444.969
371.36,138.125,152.368,131.234,131.121,116.744,372.25,304.907,428.55,413.986,439.08
371.46,138.223,152.256,131.638,131.388,116.844,371.413,300.298,422.82,408.069,433.284
371.56,138.341,152.096,132.054,131.64,116.942,370.564,296.148,417.202,402.411,427.559
371.66,138.478,151.903,132.471,131.876,117.037,369.709,292.329,411.693,397.061,421.903
371.76,138.632,151.681,132.865,132.099,117.131,368.852,288.703,406.292,392.079,416.34
371.86,138.802,151.421,133.224,132.307,117.224,367.996,285.258,400.992,387.658,410.893
371.96,138.988,151.141,133.555,132.501,117.316,367.142,281.938,395.793,383.858,405.589
372.06,139.188,150.852,133.87,132.683,117.409,366.29,278.686,390.688,380.539,400.396
372.16,139.399,150.558,134.171,132.853,117.502,365.44,275.545,385.678,377.824,395.295
372.26,139.62,150.261,134.46,133.012,117.595,364.598,272.5,380.767,375.546,390.287
372.36,139.851,149.959,134.74,133.164,117.69,363.762,269.532,376.714,374.444,385.372
372.46,140.09,149.652,135.01,133.312,117.785,362.929,266.621,374.789,373.616,380.548
372.56,140.337,149.342,135.273,133.46,117.881,362.1,263.741,374.099,372.737,376.606
372.66,140.591,149.03,135.534,133.608,117.977,361.274,260.872,373.323,371.834,374.768
372.76,140.852,148.72,135.795,133.758,118.073,360.452,258.007,372.499,370.92,374.081
372.86,141.118,148.415,136.058,133.91,118.169,359.634,255.145,371.649,370.004,373.311
372.96,141.39,148.118,136.323,134.064,118.266,358.819,252.299,370.785,369.09,372.495
373.06,141.666,147.828,136.591,134.219,118.363,357.995,249.479,369.916,368.181,371.654
373.16,141.946,147.545,136.861,134.377,118.461,357.157,246.699,369.044,367.277,370.8
373.26,142.23,147.269,137.134,134.536,118.559,356.303,243.977,368.173,366.379,369.941
373.36,142.516,147.0,137.41,134.696,118.656,355.442,241.317,367.305,365.487,369.08
373.46,142.806,146.735,137.687,134.857,118.753,354.579,238.717,366.438,364.601,368.22
373.56,143.097,146.476,137.966,135.018,118.848,353.715,236.178,365.576,363.718,367.362
373.66,143.39,146.219,138.246,135.18,118.94,352.847,233.702,364.716,362.838,366.507
373.76,143.682,145.966,138.527,135.342,119.029,351.955,231.289,363.861,361.957,365.655
373.86,143.972,145.714,138.808,135.504,119.113,350.769,228.939,363.009,361.072,364.807
373.96,144.257,145.463,139.09,135.666,119.194,348.274,226.652,362.16,360.165,363.962
374.06,144.534,145.212,139.372,135.827,119.268,343.932,224.43,361.316,359.188,363.12
374.16,144.802,144.961,139.653,135.988,119.325,339.877,222.273,360.475,358.109,362.282
374.26,145.063,144.709,139.934,136.147,119.371,335.878,220.181,359.638,356.909,361.448
374.36,145.318,144.455,140.214,136.306,119.41,331.913,218.15,358.805,355.505,360.618
374.46,145.566,144.2,140.493,136.464,119.445,327.987,216.178,357.975,353.805,359.79
374.56,145.809,143.945,140.772,136.62,119.477,324.106,214.259,357.149,351.922,358.967
374.66,146.043,143.691,141.049,136.775,119.506,320.276,212.39,356.326,349.873,358.147
374.76,146.27,143.44,141.324,136.929,119.532,316.472,210.568,355.507,344.915,357.33
374.86,146.486,143.19,141.599,137.082,119.555,312.73,208.79,354.692,341.628,356.517
374.96,146.691,142.942,141.871,137.232,119.576,309.055,207.055,353.88,338.772,355.707
375.06,146.883,142.697,142.142,137.381,119.595,305.451,205.362,353.072,335.596,354.901
375.16,147.063,142.453,142.411,137.527,119.611,301.881,203.712,352.265,332.455,354.098
375.26,147.23,142.21,142.678,137.668,119.625,298.392,202.102,351.159,329.51,353.298
375.36,147.382,141.97,142.942,137.803,119.637,294.952,200.532,349.463,326.52,352.502
375.46,147.522,141.731,143.202,137.93,119.647,291.605,199.024,344.75,323.523,351.54
375.56,147.65,141.494,143.457,138.046,119.655,288.352,197.592,340.459,320.476,350.284
375.66,147.768,141.258,143.704,138.151,119.66,285.191,196.231,336.312,317.347,346.204
375.76,147.88,141.019,143.941,138.244,119.664,282.114,194.93,332.257,314.164,341.803
375.86,147.987,140.778,144.166,138.326,119.664,279.114,193.654,328.29,310.966,337.67
375.96,148.09,140.537,144.38,138.396,119.662,276.221,192.422,324.409,307.788,333.679
